train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.1M
epoch 26, train 0.6631|0.6156, val 0.6803|0.5939, tval_ff 0.6809|0.5842, tval_bd 0.6481|0.6604, tval_hd_comb 0.7000|0.5812, tval_hd_novel 0.6742|0.5766, 7.3m 3.2h/12.2h
epoch 27, train 0.6707|0.6058, val 0.6840|0.5861, tval_ff 0.6847|0.5608, tval_bd 0.6469|0.6698, tval_hd_comb 0.6748|0.5875, tval_hd_novel 0.6772|0.5969, 7.3m 3.3h/12.2h
epoch 28, train 0.6662|0.5956, val 0.6840|0.5850, tval_ff 0.6853|0.5750, tval_bd 0.6586|0.6583, tval_hd_comb 0.6822|0.5738, tval_hd_novel 0.6548|0.6141, 7.3m 3.4h/12.2h
epoch 29, train 0.6583|0.6013, val 0.6755|0.6061, tval_ff 0.6871|0.5708, tval_bd 0.6544|0.6260, tval_hd_comb 0.7059|0.5925, tval_hd_novel 0.7107|0.5641, 7.3m 3.5h/12.2h
epoch 30, train 0.6659|0.6116, val 0.6790|0.6078, tval_ff 0.6881|0.5758, tval_bd 0.6670|0.6333, tval_hd_comb 0.6804|0.5713, tval_hd_novel 0.6740|0.5859, 7.3m 3.7h/12.2h
epoch 31, train 0.6665|0.5920, val 0.6703|0.6161, tval_ff 0.6889|0.5650, tval_bd 0.6679|0.6510, tval_hd_comb 0.6638|0.5862, tval_hd_novel 0.6585|0.6234, 7.3m 3.8h/12.2h
epoch 32, train 0.6568|0.6169, val 0.6861|0.5856, tval_ff 0.6862|0.5658, tval_bd 0.6616|0.6406, tval_hd_comb 0.6846|0.5625, tval_hd_novel 0.6536|0.6344, 7.3m 3.9h/12.2h
epoch 33, train 0.6703|0.6044, val 0.6805|0.5850, tval_ff 0.6858|0.5508, tval_bd 0.6639|0.6458, tval_hd_comb 0.6691|0.5862, tval_hd_novel 0.6701|0.5906, 7.3m 4.0h/12.2h
epoch 34, train 0.6655|0.6116, val 0.6765|0.6078, tval_ff 0.6864|0.5517, tval_bd 0.6592|0.6594, tval_hd_comb 0.6838|0.5700, tval_hd_novel 0.6850|0.5547, 7.3m 4.2h/12.2h
epoch 35, train 0.6576|0.6222, val 0.6794|0.6017, tval_ff 0.6847|0.5508, tval_bd 0.6419|0.6865, tval_hd_comb 0.6765|0.5813, tval_hd_novel 0.6730|0.5734, 7.3m 4.3h/12.2h
epoch 36, train 0.6641|0.6018, val 0.6719|0.6000, tval_ff 0.6840|0.5808, tval_bd 0.6627|0.6385, tval_hd_comb 0.6931|0.5350, tval_hd_novel 0.6728|0.5859, 7.3m 4.4h/12.2h
epoch 37, train 0.6589|0.6280, val 0.6683|0.6339, tval_ff 0.6849|0.5825, tval_bd 0.6492|0.6677, tval_hd_comb 0.6848|0.5675, tval_hd_novel 0.6682|0.5719, 7.3m 4.5h/12.2h
epoch 38, train 0.6665|0.6169, val 0.6769|0.5950, tval_ff 0.6835|0.5525, tval_bd 0.6593|0.6781, tval_hd_comb 0.6648|0.5912, tval_hd_novel 0.6649|0.5719, 7.3m 4.6h/12.2h
epoch 39, train 0.6603|0.6253, val 0.6845|0.5933, tval_ff 0.6814|0.5825, tval_bd 0.6536|0.6583, tval_hd_comb 0.7153|0.5475, tval_hd_novel 0.6788|0.6125, 7.4m 4.8h/12.2h
epoch 40, train 0.6628|0.6173, val 0.6812|0.6061, tval_ff 0.6845|0.5483, tval_bd 0.6541|0.6802, tval_hd_comb 0.6913|0.5700, tval_hd_novel 0.6752|0.5781, 7.3m 4.9h/12.2h
epoch 41, train 0.6595|0.6213, val 0.6815|0.5950, tval_ff 0.6815|0.5375, tval_bd 0.6475|0.6708, tval_hd_comb 0.6769|0.5838, tval_hd_novel 0.6871|0.5734, 7.3m 5.0h/12.2h
epoch 42, train 0.6549|0.6209, val 0.6703|0.6200, tval_ff 0.6804|0.5858, tval_bd 0.6641|0.6292, tval_hd_comb 0.7020|0.5463, tval_hd_novel 0.6631|0.6109, 7.4m 5.1h/12.2h
epoch 43, train 0.6583|0.6316, val 0.6750|0.6056, tval_ff 0.6831|0.5808, tval_bd 0.6532|0.6687, tval_hd_comb 0.6858|0.5750, tval_hd_novel 0.6546|0.6078, 7.3m 5.3h/12.2h
epoch 44, train 0.6630|0.6044, val 0.6742|0.6017, tval_ff 0.6802|0.5908, tval_bd 0.6571|0.6146, tval_hd_comb 0.7081|0.5712, tval_hd_novel 0.6769|0.5953, 7.4m 5.4h/12.2h
epoch 45, train 0.6568|0.6138, val 0.6683|0.6144, tval_ff 0.6853|0.5675, tval_bd 0.6563|0.6354, tval_hd_comb 0.7136|0.5475, tval_hd_novel 0.6937|0.5563, 7.4m 5.5h/12.2h
epoch 46, train 0.6601|0.6271, val 0.6832|0.5839, tval_ff 0.6808|0.5950, tval_bd 0.6541|0.6708, tval_hd_comb 0.6903|0.5750, tval_hd_novel 0.6700|0.5891, 7.4m 5.6h/12.2h
epoch 47, train 0.6488|0.6440, val 0.6770|0.5978, tval_ff 0.6803|0.5908, tval_bd 0.6571|0.6646, tval_hd_comb 0.6801|0.5862, tval_hd_novel 0.6699|0.6313, 7.4m 5.7h/12.2h
epoch 48, train 0.6560|0.6418, val 0.6848|0.6033, tval_ff 0.6721|0.6183, tval_bd 0.6524|0.6448, tval_hd_comb 0.7191|0.5488, tval_hd_novel 0.7033|0.5875, 7.4m 5.9h/12.2h
epoch 49, train 0.6553|0.6427, val 0.6808|0.5806, tval_ff 0.6825|0.5775, tval_bd 0.6579|0.6552, tval_hd_comb 0.6916|0.5688, tval_hd_novel 0.6704|0.5813, 7.4m 6.0h/12.2h
epoch 50, train 0.6521|0.6338, val 0.6830|0.6117, tval_ff 0.6766|0.6033, tval_bd 0.6627|0.6375, tval_hd_comb 0.6962|0.5975, tval_hd_novel 0.6891|0.5875, 7.4m 6.1h/12.2h
epoch 51, train 0.6564|0.6320, val 0.6750|0.6050, tval_ff 0.6792|0.5992, tval_bd 0.6589|0.6490, tval_hd_comb 0.6742|0.5750, tval_hd_novel 0.6880|0.5172, 7.4m 6.2h/12.2h
epoch 52, train 0.6513|0.6404, val 0.6753|0.6083, tval_ff 0.6791|0.5825, tval_bd 0.6487|0.6500, tval_hd_comb 0.7009|0.5613, tval_hd_novel 0.6633|0.5875, 7.4m 6.4h/12.2h
epoch 53, train 0.6604|0.6231, val 0.6750|0.5950, tval_ff 0.6834|0.5817, tval_bd 0.6522|0.6458, tval_hd_comb 0.7093|0.5525, tval_hd_novel 0.6820|0.5797, 7.4m 6.5h/12.2h
epoch 54, train 0.6540|0.6333, val 0.6701|0.6094, tval_ff 0.6779|0.5958, tval_bd 0.6511|0.6667, tval_hd_comb 0.6844|0.5788, tval_hd_novel 0.6975|0.5641, 7.4m 6.6h/12.2h
epoch 55, train 0.6462|0.6329, val 0.6769|0.6156, tval_ff 0.6801|0.5925, tval_bd 0.6560|0.6521, tval_hd_comb 0.7010|0.5512, tval_hd_novel 0.6598|0.6109, 7.4m 6.7h/12.2h
epoch 56, train 0.6574|0.6218, val 0.6871|0.5861, tval_ff 0.6841|0.5667, tval_bd 0.6592|0.6646, tval_hd_comb 0.6790|0.5750, tval_hd_novel 0.6900|0.5719, 7.4m 6.9h/12.2h
epoch 57, train 0.6488|0.6187, val 0.6852|0.6039, tval_ff 0.6742|0.5967, tval_bd 0.6723|0.6563, tval_hd_comb 0.7181|0.5588, tval_hd_novel 0.6645|0.6031, 7.4m 7.0h/12.2h
epoch 58, train 0.6509|0.6347, val 0.6768|0.5856, tval_ff 0.6847|0.5617, tval_bd 0.6568|0.6292, tval_hd_comb 0.7095|0.5700, tval_hd_novel 0.6611|0.5922, 7.4m 7.1h/12.2h
epoch 59, train 0.6574|0.6240, val 0.6640|0.6289, tval_ff 0.6799|0.5933, tval_bd 0.6519|0.6740, tval_hd_comb 0.6813|0.5850, tval_hd_novel 0.6746|0.5906, 7.3m 7.2h/12.2h
epoch 60, train 0.6374|0.6462, val 0.6840|0.6006, tval_ff 0.6752|0.5733, tval_bd 0.6525|0.6427, tval_hd_comb 0.7012|0.5738, tval_hd_novel 0.6981|0.5938, 7.3m 7.3h/12.2h
epoch 61, train 0.6422|0.6493, val 0.6798|0.5922, tval_ff 0.6815|0.5750, tval_bd 0.6553|0.6625, tval_hd_comb 0.6957|0.5700, tval_hd_novel 0.6781|0.5656, 7.3m 7.5h/12.2h
epoch 62, train 0.6481|0.6391, val 0.6681|0.6122, tval_ff 0.6799|0.5925, tval_bd 0.6485|0.6615, tval_hd_comb 0.6710|0.5850, tval_hd_novel 0.6897|0.5609, 7.3m 7.6h/12.2h
epoch 63, train 0.6466|0.6458, val 0.6746|0.6094, tval_ff 0.6796|0.5975, tval_bd 0.6531|0.6615, tval_hd_comb 0.6820|0.5725, tval_hd_novel 0.6891|0.5656, 7.3m 7.7h/12.2h
