train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.1M
epoch 26, train 0.9042|0.6391, val 0.7057|0.6028, tval_ff 0.6745|0.6108, tval_bd 0.6464|0.6344, tval_hd_comb 0.7779|0.5525, tval_hd_novel 0.7613|0.5297, 3.9m 1.7h/6.5h
epoch 27, train 0.9211|0.6240, val 0.6948|0.5933, tval_ff 0.6718|0.6042, tval_bd 0.6258|0.6625, tval_hd_comb 0.7448|0.5612, tval_hd_novel 0.7217|0.5625, 3.9m 1.8h/6.5h
epoch 28, train 0.9263|0.6071, val 0.6856|0.5911, tval_ff 0.6825|0.5550, tval_bd 0.6542|0.6437, tval_hd_comb 0.7428|0.5350, tval_hd_novel 0.7098|0.5937, 3.9m 1.8h/6.5h
epoch 29, train 0.9098|0.6222, val 0.7020|0.6106, tval_ff 0.6946|0.5767, tval_bd 0.6621|0.6354, tval_hd_comb 0.7710|0.5650, tval_hd_novel 0.8168|0.5297, 3.9m 1.9h/6.5h
epoch 30, train 0.9079|0.6191, val 0.7031|0.5922, tval_ff 0.6889|0.5817, tval_bd 0.6470|0.6385, tval_hd_comb 0.7800|0.5525, tval_hd_novel 0.8017|0.5531, 3.9m 2.0h/6.5h
epoch 31, train 0.9074|0.6249, val 0.6884|0.6017, tval_ff 0.6862|0.5800, tval_bd 0.6610|0.6448, tval_hd_comb 0.7178|0.5650, tval_hd_novel 0.6878|0.6000, 3.9m 2.0h/6.5h
epoch 32, train 0.8992|0.6422, val 0.6746|0.6089, tval_ff 0.6747|0.5892, tval_bd 0.6457|0.6531, tval_hd_comb 0.6990|0.5838, tval_hd_novel 0.6829|0.5922, 3.9m 2.1h/6.5h
epoch 33, train 0.9218|0.6187, val 0.6901|0.5950, tval_ff 0.6912|0.5675, tval_bd 0.6491|0.6510, tval_hd_comb 0.7091|0.5888, tval_hd_novel 0.6953|0.6063, 3.9m 2.2h/6.5h
epoch 34, train 0.9030|0.6409, val 0.6785|0.6117, tval_ff 0.6927|0.5875, tval_bd 0.6443|0.6594, tval_hd_comb 0.7187|0.5663, tval_hd_novel 0.7269|0.5625, 3.9m 2.2h/6.5h
epoch 35, train 0.8984|0.6338, val 0.6832|0.5978, tval_ff 0.6774|0.5708, tval_bd 0.6206|0.6771, tval_hd_comb 0.6984|0.5912, tval_hd_novel 0.6983|0.5594, 3.9m 2.3h/6.5h
epoch 36, train 0.9006|0.6329, val 0.6668|0.6211, tval_ff 0.6768|0.6075, tval_bd 0.6387|0.6760, tval_hd_comb 0.7204|0.5550, tval_hd_novel 0.7123|0.5703, 4.0m 2.3h/6.5h
epoch 37, train 0.8896|0.6484, val 0.6730|0.6294, tval_ff 0.6802|0.5975, tval_bd 0.6464|0.6500, tval_hd_comb 0.7234|0.5713, tval_hd_novel 0.7062|0.5875, 3.9m 2.4h/6.5h
epoch 38, train 0.9074|0.6333, val 0.6922|0.5817, tval_ff 0.6779|0.5750, tval_bd 0.6360|0.6646, tval_hd_comb 0.7039|0.5913, tval_hd_novel 0.7259|0.5594, 3.9m 2.5h/6.5h
epoch 39, train 0.8992|0.6489, val 0.6758|0.6017, tval_ff 0.6780|0.5992, tval_bd 0.6520|0.6531, tval_hd_comb 0.6911|0.5613, tval_hd_novel 0.6689|0.5750, 3.9m 2.5h/6.5h
epoch 40, train 0.8997|0.6462, val 0.6866|0.6017, tval_ff 0.6880|0.5475, tval_bd 0.6316|0.6781, tval_hd_comb 0.7367|0.5937, tval_hd_novel 0.7034|0.5656, 3.9m 2.6h/6.5h
epoch 41, train 0.9027|0.6253, val 0.6852|0.6050, tval_ff 0.6874|0.5458, tval_bd 0.6300|0.6646, tval_hd_comb 0.7116|0.5875, tval_hd_novel 0.6986|0.5578, 3.9m 2.7h/6.5h
epoch 42, train 0.8957|0.6440, val 0.6985|0.6144, tval_ff 0.6904|0.5792, tval_bd 0.6623|0.6458, tval_hd_comb 0.8010|0.5587, tval_hd_novel 0.7236|0.6172, 3.9m 2.7h/6.5h
epoch 43, train 0.8956|0.6400, val 0.6943|0.6044, tval_ff 0.6823|0.5708, tval_bd 0.6397|0.6615, tval_hd_comb 0.7458|0.5875, tval_hd_novel 0.7124|0.5953, 3.9m 2.8h/6.5h
epoch 44, train 0.9059|0.6142, val 0.6922|0.5967, tval_ff 0.6742|0.5917, tval_bd 0.6406|0.6479, tval_hd_comb 0.7689|0.5787, tval_hd_novel 0.7257|0.5688, 3.9m 2.9h/6.5h
epoch 45, train 0.8935|0.6400, val 0.6780|0.6239, tval_ff 0.6873|0.5792, tval_bd 0.6508|0.6510, tval_hd_comb 0.7896|0.5538, tval_hd_novel 0.7494|0.5750, 3.9m 2.9h/6.5h
epoch 46, train 0.8981|0.6316, val 0.6844|0.5978, tval_ff 0.6717|0.5842, tval_bd 0.6246|0.6938, tval_hd_comb 0.7251|0.5525, tval_hd_novel 0.6755|0.6109, 3.9m 3.0h/6.5h
epoch 47, train 0.8755|0.6551, val 0.6808|0.6267, tval_ff 0.6720|0.6025, tval_bd 0.6290|0.6729, tval_hd_comb 0.7145|0.5788, tval_hd_novel 0.7083|0.6047, 3.9m 3.1h/6.5h
epoch 48, train 0.8863|0.6440, val 0.6808|0.6200, tval_ff 0.6748|0.5758, tval_bd 0.6366|0.6740, tval_hd_comb 0.7140|0.5750, tval_hd_novel 0.7162|0.6031, 3.9m 3.1h/6.5h
epoch 49, train 0.8766|0.6378, val 0.6922|0.5861, tval_ff 0.6861|0.5592, tval_bd 0.6369|0.6698, tval_hd_comb 0.7221|0.5438, tval_hd_novel 0.6717|0.6063, 3.9m 3.2h/6.5h
epoch 50, train 0.8773|0.6493, val 0.6875|0.6050, tval_ff 0.6776|0.5867, tval_bd 0.6515|0.6448, tval_hd_comb 0.7488|0.5613, tval_hd_novel 0.7034|0.5641, 3.9m 3.3h/6.5h
epoch 51, train 0.9017|0.6418, val 0.6754|0.6044, tval_ff 0.6839|0.5975, tval_bd 0.6444|0.6604, tval_hd_comb 0.6831|0.5900, tval_hd_novel 0.7016|0.5375, 3.9m 3.3h/6.5h
epoch 52, train 0.8814|0.6520, val 0.6769|0.6111, tval_ff 0.6807|0.5933, tval_bd 0.6386|0.6708, tval_hd_comb 0.7124|0.5463, tval_hd_novel 0.6644|0.5781, 3.9m 3.4h/6.5h
epoch 53, train 0.8977|0.6440, val 0.6813|0.5928, tval_ff 0.6769|0.5833, tval_bd 0.6300|0.6792, tval_hd_comb 0.7608|0.5625, tval_hd_novel 0.7083|0.5812, 3.9m 3.5h/6.5h
epoch 54, train 0.8833|0.6484, val 0.6772|0.6211, tval_ff 0.6674|0.5883, tval_bd 0.6369|0.6812, tval_hd_comb 0.7219|0.5900, tval_hd_novel 0.7314|0.5594, 3.9m 3.5h/6.5h
epoch 55, train 0.8731|0.6524, val 0.6771|0.6211, tval_ff 0.6757|0.5842, tval_bd 0.6322|0.6698, tval_hd_comb 0.7422|0.5700, tval_hd_novel 0.6824|0.6156, 3.9m 3.6h/6.5h
epoch 56, train 0.8984|0.6329, val 0.6807|0.6106, tval_ff 0.6762|0.5908, tval_bd 0.6318|0.6948, tval_hd_comb 0.6885|0.5975, tval_hd_novel 0.6877|0.5984, 3.9m 3.7h/6.5h
epoch 57, train 0.8830|0.6498, val 0.6858|0.6100, tval_ff 0.6738|0.6050, tval_bd 0.6384|0.6771, tval_hd_comb 0.7106|0.5900, tval_hd_novel 0.6490|0.6438, 3.9m 3.7h/6.5h
epoch 58, train 0.8634|0.6636, val 0.6816|0.6056, tval_ff 0.6816|0.5867, tval_bd 0.6449|0.6375, tval_hd_comb 0.7282|0.5675, tval_hd_novel 0.6825|0.6047, 3.9m 3.8h/6.5h
epoch 59, train 0.8834|0.6444, val 0.6693|0.6283, tval_ff 0.6737|0.6025, tval_bd 0.6386|0.6531, tval_hd_comb 0.7317|0.5625, tval_hd_novel 0.7201|0.6062, 3.9m 3.9h/6.5h
epoch 60, train 0.8584|0.6649, val 0.6826|0.6106, tval_ff 0.6815|0.5508, tval_bd 0.6367|0.6708, tval_hd_comb 0.7506|0.5725, tval_hd_novel 0.7362|0.5734, 3.9m 3.9h/6.5h
epoch 61, train 0.8735|0.6591, val 0.6802|0.6117, tval_ff 0.6744|0.6067, tval_bd 0.6332|0.6729, tval_hd_comb 0.7072|0.5875, tval_hd_novel 0.6984|0.5859, 3.9m 4.0h/6.5h
epoch 62, train 0.8693|0.6524, val 0.6823|0.6117, tval_ff 0.6812|0.5975, tval_bd 0.6438|0.6781, tval_hd_comb 0.7111|0.5850, tval_hd_novel 0.6927|0.5891, 3.9m 4.1h/6.5h
epoch 63, train 0.8616|0.6622, val 0.6734|0.6178, tval_ff 0.6744|0.5967, tval_bd 0.6392|0.6562, tval_hd_comb 0.6911|0.5750, tval_hd_novel 0.7052|0.5812, 3.9m 4.1h/6.5h
epoch 64, train 0.8841|0.6369, val 0.6929|0.6056, tval_ff 0.6881|0.6167, tval_bd 0.6242|0.6729, tval_hd_comb 0.7569|0.5513, tval_hd_novel 0.7297|0.5703, 3.9m 4.2h/6.5h
epoch 65, train 0.8727|0.6422, val 0.6941|0.6072, tval_ff 0.6723|0.5850, tval_bd 0.6333|0.6635, tval_hd_comb 0.7314|0.5762, tval_hd_novel 0.7091|0.6063, 3.9m 4.3h/6.5h
epoch 66, train 0.8709|0.6520, val 0.6913|0.6111, tval_ff 0.6651|0.6258, tval_bd 0.6249|0.6656, tval_hd_comb 0.7578|0.5375, tval_hd_novel 0.6652|0.6406, 3.9m 4.3h/6.5h
epoch 67, train 0.8702|0.6502, val 0.6999|0.6006, tval_ff 0.6647|0.6000, tval_bd 0.6301|0.6823, tval_hd_comb 0.7930|0.5612, tval_hd_novel 0.7361|0.6062, 3.9m 4.4h/6.5h
epoch 68, train 0.8707|0.6542, val 0.6988|0.6161, tval_ff 0.6888|0.5783, tval_bd 0.6231|0.6750, tval_hd_comb 0.7679|0.5725, tval_hd_novel 0.7309|0.5969, 3.9m 4.4h/6.5h
epoch 69, train 0.8829|0.6351, val 0.6661|0.6056, tval_ff 0.6796|0.5933, tval_bd 0.6268|0.6823, tval_hd_comb 0.6978|0.5975, tval_hd_novel 0.6948|0.5813, 3.9m 4.5h/6.5h
epoch 70, train 0.8570|0.6773, val 0.6796|0.6189, tval_ff 0.6750|0.6017, tval_bd 0.6363|0.6958, tval_hd_comb 0.7362|0.5625, tval_hd_novel 0.6955|0.5906, 3.9m 4.6h/6.5h
epoch 71, train 0.8590|0.6560, val 0.6787|0.6183, tval_ff 0.6715|0.5950, tval_bd 0.6440|0.6771, tval_hd_comb 0.7294|0.5713, tval_hd_novel 0.6698|0.6141, 3.9m 4.6h/6.5h
epoch 72, train 0.8459|0.6751, val 0.6898|0.6167, tval_ff 0.6738|0.6008, tval_bd 0.6399|0.6760, tval_hd_comb 0.7337|0.5763, tval_hd_novel 0.7415|0.5578, 3.9m 4.7h/6.5h
epoch 73, train 0.8496|0.6604, val 0.6910|0.6050, tval_ff 0.6683|0.6142, tval_bd 0.6316|0.6615, tval_hd_comb 0.7139|0.5813, tval_hd_novel 0.7376|0.6094, 3.9m 4.8h/6.5h
epoch 74, train 0.8621|0.6702, val 0.6816|0.6133, tval_ff 0.6689|0.5983, tval_bd 0.6296|0.6656, tval_hd_comb 0.7434|0.5575, tval_hd_novel 0.6757|0.6297, 3.9m 4.8h/6.5h
epoch 75, train 0.8462|0.6649, val 0.6920|0.6161, tval_ff 0.6983|0.6108, tval_bd 0.6324|0.6750, tval_hd_comb 0.7567|0.5787, tval_hd_novel 0.7237|0.5938, 3.9m 4.9h/6.5h
epoch 76, train 0.8543|0.6644, val 0.6932|0.6072, tval_ff 0.6764|0.5875, tval_bd 0.6307|0.6792, tval_hd_comb 0.7523|0.5850, tval_hd_novel 0.7844|0.5813, 3.9m 5.0h/6.5h
epoch 77, train 0.8472|0.6676, val 0.6937|0.6094, tval_ff 0.6720|0.6100, tval_bd 0.6201|0.6917, tval_hd_comb 0.7568|0.5525, tval_hd_novel 0.7164|0.6016, 3.9m 5.0h/6.5h
epoch 78, train 0.8726|0.6569, val 0.6793|0.6211, tval_ff 0.6788|0.5942, tval_bd 0.6318|0.6594, tval_hd_comb 0.7254|0.5663, tval_hd_novel 0.7058|0.6062, 3.9m 5.1h/6.5h
epoch 79, train 0.8384|0.6693, val 0.6671|0.6133, tval_ff 0.6685|0.6167, tval_bd 0.6225|0.6990, tval_hd_comb 0.7012|0.5975, tval_hd_novel 0.6935|0.6078, 3.9m 5.2h/6.5h
epoch 80, train 0.8556|0.6600, val 0.6844|0.6367, tval_ff 0.6746|0.6033, tval_bd 0.6338|0.6583, tval_hd_comb 0.7104|0.5825, tval_hd_novel 0.7031|0.6063, 3.9m 5.2h/6.5h
epoch 81, train 0.8551|0.6560, val 0.6753|0.6328, tval_ff 0.6698|0.6325, tval_bd 0.6383|0.6740, tval_hd_comb 0.6928|0.5925, tval_hd_novel 0.6989|0.5984, 3.9m 5.3h/6.5h
