train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.2M
epoch 26, train 0.6392|0.6236, val 0.6850|0.5917, tval_ff 0.6723|0.5708, tval_bd 0.6630|0.6052, tval_hd_comb 0.7044|0.5925, tval_hd_novel 0.7173|0.5641, 7.0m 3.0h/11.7h
epoch 27, train 0.6543|0.5996, val 0.6827|0.5722, tval_ff 0.6760|0.5575, tval_bd 0.6228|0.6604, tval_hd_comb 0.6924|0.5900, tval_hd_novel 0.6666|0.6172, 7.0m 3.1h/11.7h
epoch 28, train 0.6471|0.6253, val 0.6834|0.5817, tval_ff 0.6845|0.5550, tval_bd 0.6579|0.6156, tval_hd_comb 0.7072|0.5913, tval_hd_novel 0.6523|0.6172, 7.0m 3.3h/11.7h
epoch 29, train 0.6394|0.6173, val 0.6681|0.6194, tval_ff 0.7061|0.5525, tval_bd 0.6531|0.6104, tval_hd_comb 0.7158|0.5825, tval_hd_novel 0.7406|0.5563, 7.0m 3.4h/11.7h
epoch 30, train 0.6406|0.6142, val 0.6613|0.6022, tval_ff 0.6809|0.5567, tval_bd 0.6402|0.6302, tval_hd_comb 0.6854|0.5875, tval_hd_novel 0.6692|0.5922, 7.0m 3.5h/11.7h
epoch 31, train 0.6411|0.6351, val 0.6764|0.6033, tval_ff 0.6953|0.5508, tval_bd 0.6673|0.6104, tval_hd_comb 0.7150|0.5925, tval_hd_novel 0.6993|0.5797, 7.0m 3.6h/11.7h
epoch 32, train 0.6311|0.6316, val 0.6833|0.5917, tval_ff 0.6889|0.5375, tval_bd 0.6550|0.6198, tval_hd_comb 0.6955|0.5725, tval_hd_novel 0.6851|0.5813, 7.0m 3.7h/11.7h
epoch 33, train 0.6469|0.6173, val 0.6768|0.5944, tval_ff 0.6767|0.5700, tval_bd 0.6458|0.6167, tval_hd_comb 0.6868|0.6000, tval_hd_novel 0.6754|0.6031, 7.0m 3.8h/11.7h
epoch 34, train 0.6346|0.6324, val 0.6958|0.5994, tval_ff 0.6819|0.5733, tval_bd 0.6395|0.6229, tval_hd_comb 0.7139|0.5737, tval_hd_novel 0.7062|0.5750, 7.0m 4.0h/11.7h
epoch 35, train 0.6304|0.6347, val 0.6739|0.6044, tval_ff 0.6849|0.5550, tval_bd 0.6328|0.6448, tval_hd_comb 0.6660|0.6050, tval_hd_novel 0.6864|0.5906, 7.0m 4.1h/11.7h
